-7.2260666359216,-7.2260666359216,1518.79,10/21/2018 7:32:27 AM,21.3
-7.22604811191559,-7.22604811191559,1518.39,10/21/2018 7:32:50 AM,22.1
-7.22604710608721,-7.22604710608721,1517.77,10/21/2018 7:33:13 AM,22.1
-7.2260613553226,-7.2260613553226,1517.59,10/21/2018 7:33:30 AM,22.1
-7.22607032395899,-7.22607032395899,1517.05,10/21/2018 7:33:54 AM,23.7
-7.22607216797769,-7.22607216797769,1517.88,10/21/2018 7:34:19 AM,23.7
-7.22607183270156,-7.22607183270156,1517.09,10/21/2018 7:34:45 AM,25.5
-7.2260978166014,-7.2260978166014,1517.67,10/21/2018 7:35:02 AM,25.5
-7.22610670141876,-7.22610670141876,1517.49,10/21/2018 7:35:04 AM,25.5
-7.22611047327518,-7.22611047327518,1517.65,10/21/2018 7:35:08 AM,25.5
-7.22615196369588,-7.22615196369588,1518.54,10/21/2018 7:35:16 AM,25.5
-7.22622186876833,-7.22622186876833,1521.5,10/21/2018 7:35:32 AM,25.5
-7.22629982046783,-7.22629982046783,1522.78,10/21/2018 7:35:49 AM,24.8
-7.22631951794028,-7.22631951794028,1523.51,10/21/2018 7:35:52 AM,24.8
-7.22636947408319,-7.22636947408319,1523.77,10/21/2018 7:36:02 AM,24.8
-7.22638011910021,-7.22638011910021,1524.32,10/21/2018 7:36:04 AM,24.8
-7.22640937194228,-7.22640937194228,1524.95,10/21/2018 7:36:08 AM,24.8
-7.22651422955096,-7.22651422955096,1527.73,10/21/2018 7:36:29 AM,24.8
-7.22654750570655,-7.22654750570655,1530.85,10/21/2018 7:36:46 AM,24.8
-7.22655865363777,-7.22655865363777,1532.11,10/21/2018 7:37:04 AM,22.8
-7.22656854428351,-7.22656854428351,1533.51,10/21/2018 7:37:20 AM,22.8
-7.22656242549419,-7.22656242549419,1535.29,10/21/2018 7:37:30 AM,22.8
-7.22656804136932,-7.22656804136932,1538.64,10/21/2018 7:37:49 AM,22.8
-7.22657692618668,-7.22657692618668,1540.82,10/21/2018 7:38:06 AM,22.8
-7.22657910548151,-7.22657910548151,1542.18,10/21/2018 7:38:22 AM,22.8
-7.22657734528184,-7.22657734528184,1543.24,10/21/2018 7:38:26 AM,22.8
-7.22657022066414,-7.22657022066414,1546.89,10/21/2018 7:38:43 AM,23
-7.22656980156899,-7.22656980156899,1549.02,10/21/2018 7:39:01 AM,23
-7.22655764780939,-7.22655764780939,1551.75,10/21/2018 7:39:18 AM,23
-7.22656183876097,-7.22656183876097,1553.18,10/21/2018 7:39:26 AM,23
-7.22656317986548,-7.22656317986548,1556.64,10/21/2018 7:39:41 AM,22.7
-7.22657474689186,-7.22657474689186,1558.15,10/21/2018 7:39:56 AM,22.7
-7.22657114267349,-7.22657114267349,1560.99,10/21/2018 7:40:12 AM,22.7
-7.22655043937266,-7.22655043937266,1563.88,10/21/2018 7:40:29 AM,22.7
-7.22652118653059,-7.22652118653059,1566.19,10/21/2018 7:40:43 AM,22.5
-7.22652336582541,-7.22652336582541,1567.03,10/21/2018 7:41:02 AM,22.5
-7.22652110271156,-7.22652110271156,1566.86,10/21/2018 7:41:18 AM,22.5
-7.22651959396899,-7.22651959396899,1566.74,10/21/2018 7:41:44 AM,22.2
-7.22651666030288,-7.22651666030288,1568.82,10/21/2018 7:42:06 AM,22.2
-7.22653585486114,-7.22653585486114,1570.07,10/21/2018 7:42:15 AM,22.2
-7.22654239274561,-7.22654239274561,1570.15,10/21/2018 7:42:18 AM,22.2
-7.22655228339136,-7.22655228339136,1570.65,10/21/2018 7:42:23 AM,22.2
-7.22655974328518,-7.22655974328518,1572.21,10/21/2018 7:42:40 AM,22.2
-7.22656569443643,-7.22656569443643,1572.36,10/21/2018 7:42:42 AM,22.2
-7.22658840939403,-7.22658840939403,1573.22,10/21/2018 7:42:56 AM,22.2
-7.22659343853593,-7.22659343853593,1574,10/21/2018 7:43:01 AM,22.2
-7.22665529698133,-7.22665529698133,1576.51,10/21/2018 7:43:16 AM,22.2
-7.22671304829419,-7.22671304829419,1578.3,10/21/2018 7:43:31 AM,22.2
-7.22678504884243,-7.22678504884243,1579.46,10/21/2018 7:43:48 AM,22.4
-7.2267849650234,-7.2267849650234,1579.1,10/21/2018 7:44:04 AM,22.4
-7.22686459310353,-7.22686459310353,1580.52,10/21/2018 7:44:21 AM,22.4
-7.22689736634493,-7.22689736634493,1581.69,10/21/2018 7:44:37 AM,22.4
-7.2268951870501,-7.2268951870501,1582.53,10/21/2018 7:44:50 AM,22.4
-7.22690147347748,-7.22690147347748,1584.07,10/21/2018 7:45:04 AM,22.4
-7.22695712931454,-7.22695712931454,1586.24,10/21/2018 7:45:19 AM,22.4
-7.22702594473958,-7.22702594473958,1588.36,10/21/2018 7:45:34 AM,22.4
-7.22705134190619,-7.22705134190619,1588.57,10/21/2018 7:45:49 AM,22.5
-7.22708193585277,-7.22708193585277,1590.37,10/21/2018 7:46:08 AM,22.5
-7.22710247151554,-7.22710247151554,1591.75,10/21/2018 7:46:25 AM,22.5
